,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sioux Lookout,CA,50.1001,-91.917,-1.82,65,20,3.44,few clouds
1,Avarua,CK,-21.2078,-159.775,82.45,83,20,17.27,few clouds
2,Ushuaia,AR,-54.8,-68.3,51.42,76,75,16.11,broken clouds
3,Hovd,MN,48.0056,91.6419,-4.0,92,100,2.33,overcast clouds
4,Aklavik,CA,68.2191,-135.0107,-9.4,64,75,5.75,broken clouds
5,Olafsvik,IS,64.8945,-23.7142,40.32,97,100,26.96,overcast clouds
6,Garowe,SO,8.4054,48.4845,66.06,76,100,8.23,overcast clouds
7,Port Alfred,ZA,-33.5906,26.891,71.92,88,61,13.62,broken clouds
8,Naze,JP,28.3667,129.4833,59.92,80,88,9.64,overcast clouds
9,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,3.44,scattered clouds
10,Vytegra,RU,61.0064,36.4481,18.3,94,100,9.75,snow
11,Kencong,ID,-8.2833,113.3667,76.33,92,100,1.79,overcast clouds
12,Huarmey,PE,-10.0681,-78.1522,72.82,81,98,10.18,overcast clouds
13,Labuhan,ID,-6.8844,112.2051,77.99,86,100,9.89,light rain
14,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,20,8.05,few clouds
15,Biak,ID,-0.9131,122.8766,76.32,85,99,1.5,overcast clouds
16,Toamasina,MG,-18.1667,49.3833,73.4,94,75,6.91,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,78.78,76,94,17.49,overcast clouds
18,East London,ZA,-33.0153,27.9116,73.6,90,8,13.78,clear sky
19,Amapa,BR,1.0,-52.0,71.55,100,100,1.57,overcast clouds
20,Sunel,IN,24.3667,75.9667,51.01,48,0,2.84,clear sky
21,College,US,64.8569,-147.8028,-5.42,75,75,0.0,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,53.71,76,0,9.22,clear sky
23,Lebu,CL,-37.6167,-73.65,64.06,82,5,7.25,clear sky
24,Hobart,AU,-42.8794,147.3294,82.26,61,0,1.01,clear sky
25,Vaini,TO,-21.2,-175.2,82.81,77,92,15.64,overcast clouds
26,Namibe,AO,-15.1961,12.1522,74.84,82,100,1.48,overcast clouds
27,Makakilo City,US,21.3469,-158.0858,80.92,50,0,9.22,clear sky
28,Souillac,MU,-20.5167,57.5167,75.58,83,40,3.44,scattered clouds
29,Kimbe,PG,-5.5502,150.1429,82.83,76,96,1.74,overcast clouds
30,Sakaiminato,JP,35.55,133.2333,44.58,70,75,6.91,broken clouds
31,Bengkulu,ID,-3.8004,102.2655,75.9,88,99,3.56,overcast clouds
32,Uliesti,RO,44.5833,25.4167,32.61,88,56,10.47,broken clouds
33,Isangel,VU,-19.55,169.2667,86.11,79,75,8.05,broken clouds
34,Yumen,CN,40.2833,97.2,18.03,43,6,8.01,clear sky
35,El Alto,PE,-4.2714,-81.2147,71.37,80,62,9.15,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,75.13,78,98,6.87,overcast clouds
37,Laibin,CN,23.7,109.2667,50.56,83,100,8.95,overcast clouds
38,Skibbereen,IE,51.55,-9.2667,40.8,81,98,5.06,overcast clouds
39,Raudeberg,NO,61.9875,5.1352,38.07,66,100,5.01,overcast clouds
40,Cape Town,ZA,-33.9258,18.4232,66.09,68,20,12.66,few clouds
41,Mataura,NZ,-46.1927,168.8643,62.47,35,52,1.34,broken clouds
42,Hilo,US,19.7297,-155.09,80.33,65,0,12.66,clear sky
43,Mwinilunga,ZM,-11.7358,24.4293,60.67,98,100,5.88,overcast clouds
44,Barrow,US,71.2906,-156.7887,-14.78,76,0,10.36,clear sky
45,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,65,5.44,light rain
46,Tiksi,RU,71.6872,128.8694,-13.99,97,33,10.51,scattered clouds
47,Salalah,OM,17.0151,54.0924,71.69,68,40,6.91,scattered clouds
48,Komsomolskiy,UZ,40.4272,71.7189,27.82,68,60,6.91,broken clouds
49,Hermanus,ZA,-34.4187,19.2345,65.8,82,18,2.62,few clouds
50,Sorland,NO,67.667,12.6934,33.35,58,100,27.63,light snow
51,Vestmannaeyjar,IS,63.4427,-20.2734,42.48,89,100,26.66,overcast clouds
52,San Patricio,US,28.017,-97.5169,63.28,64,100,8.61,overcast clouds
53,Atasu,KZ,48.6814,71.6433,2.86,81,11,7.09,few clouds
