City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
9,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
11,Kencong,ID,76.33,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
13,Labuhan,ID,77.99,light rain,-6.8844,112.2051,DoubleFAG
15,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
17,Rikitea,PF,78.78,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Hobart,AU,82.26,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
25,Vaini,TO,82.81,overcast clouds,-21.2,-175.2,Keleti Beach Resort
27,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
28,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Kimbe,PG,82.83,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
31,Bengkulu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
33,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
36,Puerto Ayora,EC,75.13,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
55,New Norfolk,AU,81.91,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
61,Hithadhoo,MV,81.01,broken clouds,-0.6,73.0833,Scoop Guest House
62,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
64,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
66,Atuona,PF,78.4,clear sky,-9.8,-139.0333,Villa Enata
70,Cabo San Lucas,MX,77.5,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
71,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
75,Auki,SB,79.95,light rain,-8.7676,160.7034,Auki Motel
77,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
